Overall Rule Priority,Rule,Module,Algorithm,Rule or API?,Rule Description,Status,Rule UID,Feedback - Revised,Feedback Layers,Unique feedback for each activity?,Give feedback for Turk workers?,Bolding?,Bolding: Is this what the engine returns now?,Text highlighting?,Application,Spelling corrected in background?,Reported to teachers?,Combined Concept,Notes,Notes for Feedback,Level 2 Concept,Level 1 Concept,Level 0 Concept,Feedback - Original,API Priority,Rule Priority - Opinion,Uses SpaCy?,Status Notes
46,Their vs. there vs. they're - There Optimal,Grammar API,Grammar ML Model,Rule,Identifies when a student uses their or they're instead of there,On Production,f257a25f-8bc3-46ce-b811-82cbd98fad2a,Update the bolded word. There is used for locations. They're is the same as they are. Their is used to show ownership.,,No,Yes,Bold incorrect version of their,Yes - Yves is confirming,No,,No,Yes,"Commonly Confused Words | There, They're, Their | There",,,Commonly Confused Words,"There, They're, Their ",There,,,,,
47,Their vs. there vs. they're - Their Optimal,Grammar API,Grammar ML Model,Rule,Identifies when a student uses there or they're instead of their,On Production,6ca8f080-c4a2-470e-8171-0fa72f0b18da,Update the bolded word. There is used for locations. They're is the same as they are. Their is used to show ownership.,,No,Yes,Bold incorrect version of their,Yes - Yves is confirming,No,,No,Yes,"Commonly Confused Words | There, They're, Their | Their",,,Commonly Confused Words,"There, They're, Their ",Their,,,,,
48,Than versus then - Than Optimal,Grammar API,Grammar ML Model,Rule,"Identifies instances of ""then"" that should be ""than"".",On Production,4aa3f48b-7be9-414b-91e0-ffa92c85f323,Check your work. Then is used for time. Than is used to make a comparison.,1,No,Yes,Incorrect then,Yes,No,Universal: all prompts/passages,No,Yes,"Commonly Confused Words | Than, Then | Than",,,Commonly Confused Words,"Than, Then",Than,"When you have words like each, someone, both, and many in a sentence, your verb should match them instead of the noun. Some are singular and some are plural. ",,,,
49,Than versus then - Then Optimal,Grammar API,Grammar ML Model,Rule,"Identifies instances of ""than"" that should be ""then"".",On Production,ad97bd7a-1215-4c52-91ec-8973d646a381,Check your work. Then is used for time. Than is used to make a comparison.,1,No,Yes,Incorrect than,Yes,No,Universal: all prompts/passages,No,Yes,"Commonly Confused Words | Than, Then | Then",,,Commonly Confused Words,"Than, Then",Then,"Fix your pronoun. Use my, his, her, their, your, our or mine, his, hers, theirs, yours, ours to show ownership.",,,,
50,Capitalization,Grammar API,Grammar Rule,Rule,"Identifies when ""I"" is not capitalized. Note: this shouldn't come up because ""i"" will be caught by the opinion API.",Turn off,0fff55d9-bd2c-418e-a67f-9037af466ca9,Turn off,1,No,Yes,Bold error word,Yes,No,Universal: all prompts/passages,No,Yes,Capitalization | Capitalization | Capitalization,,,Capitalization,Capitalization,Capitalization,"Revise your work. Use an before words that start with a, e, i, or o. Use a before all other words.",,,,
53,Persons,Grammar API,Grammar Rule,Rule,Identifies when a student uses the word persons instead of people,On Production,ea5a2dc6-6eaf-4545-834a-7ad60b845f8d,"Update the bolded word. If you're talking about more than one person, use people. If you're talking about something that belongs to a person, use person's.",,No,Yes,Bold persons,No,No,,No,Yes,Nouns & Pronouns | Irregular Plural Nouns | People,,,Nouns & Pronouns,Irregular Plural Nouns,People,,,,,
54,Peoples',Grammar API,Grammar Rule,Rule,Identifies when a student incorrectly uses peoples',On Production,dea86b0f-ef3e-4883-bafc-56c47b9c806b,"Update the bolded word. If you're talking about something that belongs to people, use people's.",,No,Yes,Bold peoples',No,No,,No,Yes,Nouns & Pronouns | Possessive Nouns | Plural Possessive Nouns,,,Nouns & Pronouns," Possessive Nouns",Plural Possessive Nouns,,,,,
55,Peoples,Grammar API,Grammar Rule,Rule,Uses peoples instead of people,On Production,ea5cdefc-4bfb-4448-ace7-a7e340934536,"Update the bolded word. When talking about more than one person, use people.",,No,Yes,Bold peoples,No,No,,No,Yes,Nouns & Pronouns | Irregular Plural Nouns | People,,,Nouns & Pronouns,Irregular Plural Nouns,People,,,,,
56,Monies,Grammar API,Grammar Rule,Rule,Uses monies instead of money,On Production,e560320e-a1dd-4974-8a5d-f05c4a6085eb,Update the bolded word. Use money instead.,,No,Yes,Bold monies,No,No,,No,Yes,Nouns & Pronouns | Irregular Plural Nouns | Irregular Plural Nouns Ending in Y,,,Nouns & Pronouns,Irregular Plural Nouns,Irregular Plural Nouns Ending in Y,,,,,
57,In regards to,Grammar API,Grammar Rule,Rule,Uses in regards to instead of in regard to,On Production,b5068c7d-30f7-496b-832e-a6eca792ffe5,Update the bolded phrase. Use in regard to without an s.,,No,Yes,Bold in regards to,No,No,,No,Yes,"Commonly Confused Words | In Regard To, In Regards To | In Regards To",,,Commonly Confused Words,"In Regard To, In Regards To",In Regards To,,,,,
58,Gases,Grammar API,Grammar Rule,Rule,Uses gasses instead of gases,On Production,7722ea01-b4eb-4c2f-a1a5-d64b6197ee50,Update the bolded word. Use gases when talking about more than one gas.,,No,Yes,Bold gasses,No,No,,No,Yes,Spelling | Spelling | Spelling,,,Spelling,Spelling,Spelling,,,,,
59,Decades with apostrophe,Grammar API,Grammar Rule,Rule,"Identifies when a student incorrectly uses an apostrophe in a decade (e.g., 1990's)",On Production,5e065b21-8b1b-437b-bbe5-b0f881ed2fa2,Now delete the apostrophe in the bolded decade to make it plural.,,No,Yes,Bold the decade with 's,Yes,No,,No,Yes,Punctuation | Apostrophes in Dates | Apostrophes in Dates,,,Punctuation,Apostrophes in Dates,Apostrophes in Dates,,,,,
5,Response ends with a question mark,Regex Module,Opinion/Tone Keyword Check,Fake Rule,,,,,,,,,,,,,,,,,,,,,,,,
59,Spelling API,Bing Spelling API,Spelling,API,API,Live Algorithm,ac98854a-ebd4-40de-9720-5b28b752e1a2,,1,No,Yes,"-Bold the misspelled word or words ",Yes,No,Universal: all prompts/passages,No,Yes,,,,,,,Revise your work. Check for a repeated word.,8,,,
59,Spelling,Bing Spelling API,Spelling,Rule,Identifies misspelled words,Live Algorithm,7deb9bfc-4f4d-433f-a366-caf810849a32,Now check your spelling.,1,No,Yes,"-Bold the misspelled word or words ",Yes,No,Universal: all prompts/passages,No,Yes,Spelling | Spelling | Spelling,,,Spelling,Spelling,Spelling,Revise your work. Check for a repeated word.,8,,,
60,Typo Regex (Regex 2),Regex Module,,Rule,"Passage-specific rules that identify incorrect sequences in the responses. These rules may apply across all three conjunctions in a prompt, or they may apply to a single conjunction for a passage.",Spec needed,515eccc3-d3a9-4e71-b4ea-28a90e7d2479,Individual feedback based on regex rule,1,Yes,No,No,No,No,Custom for Prompt,No,Yes,Individual concepts for each regex rule,,,,,,Check your punctuation. Use an apostrophe to show ownership. Leave out the apostrophe if the word is just plural.,9,,,
5,"Because response starts with ""of""",Regex Module,,Fake Rule,,,,,,,,,,,,,,,,,,,,,,,,
,Fragment,Grammar API,Grammar Rule,,,Off,,,0,No,No,,No,No,,,No,Structure | Fragments | Writing Complete Sentences,,,Structure,Fragments,Writing Complete Sentences,,,,,
,Commas after yes & no,Grammar API,Grammar Rule,,,Off,,,0,No,No,,No,No,,,No,Punctuation | Commas after Yes & No | Commas after Yes & No,Off,,Punctuation,Commas after Yes & No,Commas after Yes & No,,,,,
,Passive without be,Grammar API,SpaCy Parts of Speech Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Passive Perfect Tense,Off,,Verbs,Perfect Tense,Passive Perfect Tense,,,,,
,Question marks,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Punctuation | End Punctuation | Question Marks,Off,,Punctuation,End Punctuation,Question Marks,,,,,
,This vs. That - That optimal,Grammar API,Grammar ML Model?,,,Off,,,0,No,No,,No,No,,,No,Nouns & Pronouns | Demonstratives | That,,,,Demonstratives,That,,,,,
,Childs vs. children,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,"Nouns & Pronouns | Irregular Plural Nouns | Plural Nouns
",Off,,Nouns & Pronouns,Irregular Plural Nouns,Plural Nouns,,,,,
,Simple past instead of past perfect,Grammar API,SpaCy Parts of Speech Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Past Perfect,Off,,Verbs,Perfect Tense,Past Perfect,,,,,
,Passive perfect with incorrect participle,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Verbs | Active & Passive Voice | Passive Voice,Off,,Verbs,Active & Passive Voice,Passive Voice,,,,,
,Womans vs. women,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Nouns & Pronouns | Irregular Plural Nouns | Plural Nouns,,,Nouns & Pronouns,Irregular Plural Nouns,Plural Nouns,,,,,
,Incorrect participle,Grammar API,Grammar Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Perfect Tense,,,Verbs,Perfect Tense,Perfect Tense,,,,,
,Subject verb agreement with neither nor,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Verbs | Subject Verb Agreement | Subject Verb Agreement,Off,,,Subject Verb Agreement,Subject Verb Agreement,,,,,
59,Passive perfect without have,Grammar API,SpaCy Parts of Speech Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Passive Perfect Tense,Off,,Verbs,Perfect Tense,Passive Perfect Tense,,,,,
,Passive with simple past instead of participle,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Verbs | Active & Passive Voice | Passive Voice,Off,,Verbs,Active & Passive Voice,Passive Voice,,,,,
,Passive with incorrect be,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Verbs | Active & Passive Voice | Passive Voice,,,Verbs,Active & Passive Voice,Passive Voice,,,,,
,Past instead of participle,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Perfect Tense,"This would be making an assumption that the participle was part of a perfect tense rather than an incorrectly formed passive voice verb. I think it's equally likely students will be writing passive voice as they will be perfect, so we may want to re-think this rule to be more specific. It will be difficult to write specific feedback for it as is.
Check back in on this when Yves updates the config file.
This error doesn't seem to exist. It's not on Github, no data. ",,Verbs,Perfect Tense,Perfect Tense,,,,,
,Incorrect irregular past tense,Grammar API,Grammar Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Simple Tense | Irregular Past Tense,Off,,Verbs,Simple Tense,Irregular Past Tense,,,,,
,Perfect progressive with incorrect be and without have,Grammar API,SpaCy Parts of Speech Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Perfect Progressive Tense,Off,,Verbs,Perfect Tense,Perfect Progressive Tense,,,,,
,Object pronouns,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Nouns & Pronouns | Subject Pronouns | Object Pronouns,,,Nouns & Pronouns,Subject Pronouns,Object Pronouns,,,,,
,Perfect progressive without have,Grammar API,SpaCy Parts of Speech Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Perfect Progressive Tense,,,Verbs,Perfect Tense,Perfect Progressive Tense,,,,,
,This vs. That - This optimal,Grammar API,Grammar ML Model?,,,Off,,,0,No,No,,No,No,,,No,Nouns & Pronouns | Demonstratives | This,,,,Demonstratives,This,,,,,
,Commas in numbers,Grammar API,Grammar Rule,,,Off,,,0,No,No,,No,No,,,No,Punctuation | Commas in Numbers | Commas in Numbers,,,Punctuation,Commas in Numbers,Commas in Numbers,,,,,
,Mans vs. men,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,"Nouns & Pronouns | Irregular Plural Nouns | Plural Nouns
",,,Nouns & Pronouns,Irregular Plural Nouns,Plural Nouns,,,,,
,Perfect without have,Grammar API,SpaCy Parts of Speech Rule,,,Off,,,0,No,No,,No,No,,,No,Verbs | Perfect Tense | Perfect Tense,,,Verbs,Perfect Tense,Perfect Tense,,,,,
,Passive with incorrect participle,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,No,No,,,No,Verbs | Active & Passive Voice | Passive Voice,,,Verbs,Active & Passive Voice,Passive Voice,,,,,
,Irregular plural nouns,Grammar API,Grammar Rule,,,Off,,,0,No,No,,No,No,,,No,Nouns & Pronouns | Irregular Plural Nouns | Plural Nouns,Off,,Nouns & Pronouns,Irregular Plural Nouns,Plural Nouns,,,,,
,Subject verb agreement with either or,Grammar API,Grammar ML Model,,,Off,,,0,No,No,,,No,,,No,Verbs | Subject Verb Agreement | Subject Verb Agreement,Off,,,Subject Verb Agreement,Subject Verb Agreement,,,,,
59,Perfect with incorrect participle,Grammar API,,,,Off,,,,,,,,,,,,,,,,,,,,,,
21,Topic Optimal 1: The IWC established a quota / they couldn't hunt as many as they needed to,Topic Module,,Fake Rule,Nice work! Bowhead whaling was important to the Inupiat. You used information from the text to write about a contrasting or surprising idea.,,,,,,,,,,,,,,,,,,,,,,,
21,Topic Optimal 2: the IWC banned bowhead whaling,Topic Module,,Fake Rule,Nice work! Bowhead whaling was important to the Inupiat. You used information from the text to write about a contrasting or surprising idea.,,,,,,,,,,,,,,,,,,,,,,,
21,Topic Label 1: Missing subject thought the bowheads were endangered. Who thought that was the case?,Topic Module,,Fake Rule,Revise your response. Who thought the bowhead whale population wasn't doing well?,,,,,,,,,,,,,,,,,,,,,,,
21,Label 2: Incorrect subject/missing subject placed a quota/ban on bowhead whaling,Topic Module,,Fake Rule,Revise your response. What organization created the whaling rules that affected the Inupiat?,,,,,,,,,,,,,,,,,,,,,,,
24,"Because ""they needed them""",Regex Module,,Fake Rule,"""them refers to whales"" but the stem is about ""bowhead whaling""",,,,,,,,,,,,,,,,,,,,,,,
61,Response says ICW instead of IWC,Regex Module,,Fake Rule,IWC is the International Whaling Commission,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
