Blank,District Name,State Name [District] Latest available year,State,NCES ID,Total Schools,Lowest Grade Offered,Highest Grade Offered,Total Students,Phone,Zip,City
,ESL REGIONAL VOCATIONAL SYSTEM,Illinois,IL,1700298,0,9th Grade,12th Grade,–,6186463101,62201,East Saint Louis
,ESMERALDA COUNTY SCHOOL DISTRICT,Nevada,NV,3200150,4,Prekindergarten,12th Grade,101,7754856382,89013,GOLDFIELD
,ESPANOLA PUBLIC SCHOOLS,New Mexico,NM,3500900,13,Prekindergarten,12th Grade,3070,5057532254,87532,ESPANOLA
,ESPARTO UNIFIED,California,CA,612930,4,Kindergarten,12th Grade,934,5307873446,95627,Esparto
,ESPERANZA ACADEMY CS,Pennsylvania,PA,4200076,1,Kindergarten,12th Grade,1662,2154573667,19140,Philadelphia
,ESPERANZA CHARTER SCHOOL,LOUISIANA,LA,2200323,1,Kindergarten,8th Grade,516,5043736272,70119,New Orleans
,ESPERANZA CYBER CS,Pennsylvania,PA,4200858,1,Kindergarten,12th Grade,786,2159679703,19140,Philadelphia
,ESPERANZA SCHOOL,Utah,UT,4900161,1,Kindergarten,6th Grade,525,8013051450,84120,WEST VALLEY CITY
,ESPIRITU COMMUNITY DEVELOPMENT CORP. (4335),Arizona,AZ,400052,1,7th Grade,12th Grade,361,6022437788,85040,PHOENIX
,ESPIRITU COMMUNITY DEVELOPMENT CORP. (92250),Arizona,AZ,400895,1,Kindergarten,6th Grade,467,6022437788,85040,PHOENIX
,ESPIRITU SCHOOLS (92902),ARIZONA,AZ,400939,1,7th Grade,12th Grade,46,6022437788,85040,PHOENIX
,ESSEX CO JDC,NEW JERSEY,NJ,3400797,1,7th Grade,12th Grade,–,9734844908,8302,NEWARK
,ESSEX CO PBLC SCHS,Virginia,VA,5101200,3,Prekindergarten,12th Grade,1224,8044434366,22560,Tappahannock
,ESSEX COMM SCHOOL DISTRICT,Iowa,IA,1911040,2,Prekindergarten,12th Grade,190,7123793117,51638,Essex
,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,New Jersey,NJ,3404800,3,9th Grade,12th Grade,2340,9734122050,7102,Newark
,ESSEX FELLS SCHOOL DISTRICT,New Jersey,NJ,3404830,1,Prekindergarten,6th Grade,255,9732260505,7021,ESSEX FELLS
,ESSEX NORTH SHORE AGRICULTURAL AND TECHNICAL SCHOOL DISTRICT,MASSACHUSETTS,MA,2500554,1,9th Grade,12th Grade,1564,9783044700,1937,Hathorne
,ESSEX NORTH SUPERVISORY UNION,Vermont,VT,5099919,0,†,†,†,8022663330,5903,Canaan
,ESSEX REGIONAL EDUCATIONAL SERVICES COMMISSION,New Jersey,NJ,3480300,3,Kindergarten,12th Grade,–,9734056262,7004,FAIRFIELD
,ESSEX SCHOOL DISTRICT,Connecticut,CT,901500,1,Prekindergarten,6th Grade,311,8605262417,6417,Deep River
,ESSEX-WESTFORD EDUCATIONAL COMMUNITY UNIFIED SCHOOL DISTRICT,VERMONT,VT,5000395,10,Prekindergarten,12th Grade,3831,8028577000,5452,Essex Junction
,ESSEX-WESTFORD SUPERVISORY DISTRICT,VERMONT,VT,5000394,0,†,†,†,8028577000,5452,Essex Junction
,ESSEXVILLE-HAMPTON PUBLIC SCHOOLS,Michigan,MI,2613530,4,Prekindergarten,12th Grade,1589,9898949700,48732,ESSEXVILLE
,ESSIE MAE KISER FOXX CHARTER SCHOOL,NORTH CAROLINA,NC,3700434,1,Kindergarten,6th Grade,99,7046034460,28039,East Spencer
,ESTACADA SD 108,Oregon,OR,4104700,5,Prekindergarten,12th Grade,3188,5036306871,97023,Estacada
,ESTANCIA MUNICIPAL SCHOOLS,New Mexico,NM,3500930,5,Kindergarten,12th Grade,563,5053842001,87016,ESTANCIA
,ESTANCIA VALLEY CLASSICAL ACADEMY,New Mexico,NM,3500152,1,Kindergarten,12th Grade,597,5058322223,87035,MORIARTY
,ESTELL MANOR SCHOOL DISTRICT,New Jersey,NJ,3404860,1,Kindergarten,8th Grade,190,6094762267,8319,Estell Manor
,ESTELLINE SCHOOL DISTRICT 28-2,South Dakota,SD,4622410,3,Prekindergarten,12th Grade,284,6058732201,57234,Estelline
,ESTEM HIGH CHARTER,Arkansas,AR,500398,5,Kindergarten,12th Grade,3180,5013747836,72201,LITTLE ROCK
,ESTES PARK SCHOOL DISTRICT R-3,Colorado,CO,803810,4,Prekindergarten,12th Grade,1021,9705862361,80517,ESTES PARK
,ESTHERVILLE LINCOLN CENTRAL COM SCH DIST,Iowa,IA,1911070,3,Prekindergarten,12th Grade,1252,7123622692,51334,Estherville
,ESTILL COUNTY,Kentucky,KY,2101760,6,Prekindergarten,12th Grade,2285,6067232181,40336,Irvine
,ESTRELLA EDUCATIONAL FOUNDATION (92988),ARIZONA,AZ,400955,1,9th Grade,12th Grade,286,6233124029,85353,PHOENIX
,ESWOOD CCSD 269,Illinois,IL,1714410,1,Kindergarten,8th Grade,70,8153934477,61049,Lindenwood
,ETHAN SCHOOL DISTRICT 17-1,South Dakota,SD,4622500,3,Prekindergarten,12th Grade,285,6052274211,57334,Ethan
,ETHOS ACADEMY - A CHALLENGE FOUNDATION ACADEMY (92379),ARIZONA,AZ,400942,1,Kindergarten,8th Grade,345,6232493211,85302,GLENDALE
,ETIWANDA ELEMENTARY,California,CA,612960,18,Kindergarten,8th Grade,13478,9098992451,91739,Etiwanda
,ETOILE ACADEMY CHARTER SCHOOL,TEXAS,TX,4801460,1,5th Grade,7th Grade,216,7139951612,77074,HOUSTON
,ETOILE ISD,Texas,TX,4818660,1,Prekindergarten,8th Grade,91,9364659404,75944,ETOILE
,ETOWAH,Tennessee,TN,4701140,1,Prekindergarten,8th Grade,349,4232635483,37331,Etowah
,ETOWAH COUNTY,Alabama,AL,101380,24,Prekindergarten,12th Grade,8504,2565497560,35904,Gadsden
,EUCLID CITY,Ohio,OH,3904395,7,Prekindergarten,12th Grade,4814,2162612900,44123,Euclid
,EUCLID PREPARATORY SCHOOL,OHIO,OH,3901592,1,Kindergarten,8th Grade,331,2167502070,44117,Euclid
,EUDORA,Kansas,KS,2006090,3,Prekindergarten,12th Grade,1705,7855424910,66025,Eudora
,EUFAULA,Oklahoma,OK,4011160,3,Prekindergarten,12th Grade,1112,9186892152,74432,Eufaula
,EUFAULA CITY,Alabama,AL,101410,6,Prekindergarten,12th Grade,6428,3346871100,36027,Eufaula
,EUGENE SD 4J,Oregon,OR,4104740,37,Prekindergarten,12th Grade,16683,5417907700,97402,Eugene
,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,New York,NY,3600026,1,Kindergarten,12th Grade,935,5855446170,14621,ROCHESTER
,EUGENIO MARIA DE HOSTOS CS,Pennsylvania,PA,4200043,1,Kindergarten,8th Grade,504,2154552300,19140,Philadelphia
,EULA ISD,Texas,TX,4818690,3,Prekindergarten,12th Grade,454,3255293186,79510,CLYDE
,EUNICE MUNICIPAL SCHOOLS,New Mexico,NM,3500960,3,Prekindergarten,12th Grade,755,5753942524,88231,EUNICE
,EUREKA,Kansas,KS,2006120,2,Prekindergarten,12th Grade,603,6205835588,67045,Eureka
,EUREKA CITY SCHOOLS,California,CA,600052,8,Kindergarten,12th Grade,3540,7074412414,95501,Eureka
,EUREKA COUNTY SCHOOL DISTRICT,Nevada,NV,3200180,3,Prekindergarten,12th Grade,324,7752375373,89316,EUREKA
,EUREKA CUD 140,Illinois,IL,1714430,5,Prekindergarten,12th Grade,1453,3094673737,61530,Eureka
,EUREKA ELEM,Montana,MT,3010080,2,Prekindergarten,8th Grade,433,4062975650,59917,Eureka
,EUREKA SCHOOL DISTRICT 44-1,South Dakota,SD,4622560,3,Prekindergarten,12th Grade,157,6052842875,57437,Eureka
,EUREKA SPRINGS SCHOOL DISTRICT,Arkansas,AR,505970,3,Prekindergarten,12th Grade,587,4792535999,72632,EUREKA SPRINGS
,EUREKA UNION,California,CA,613080,7,Kindergarten,8th Grade,3149,9167914939,95746,Granite Bay
,EUSTACE ISD,Texas,TX,4818720,4,Prekindergarten,12th Grade,1592,9034255151,75124,EUSTACE
,EUSTIS PUBLIC SCHOOLS,Maine,ME,2314818,1,Prekindergarten,12th Grade,84,2072462283,4982,Stratton
,EUSTIS-FARNAM PUBLIC SCHOOLS,Nebraska,NE,3100111,2,Prekindergarten,12th Grade,159,3084863991,69028,EUSTIS
,EVADALE ISD,Texas,TX,4818750,3,Prekindergarten,12th Grade,389,4092761337,77615,EVADALE
,EVALINE SCHOOL DISTRICT,Washington,WA,5302640,1,Kindergarten,6th Grade,51,3607853460,98596,WINLOCK
,EVANGELINE PARISH,Louisiana,LA,2200630,11,Prekindergarten,12th Grade,5724,3373636651,70586,Ville Platte
,EVANS COUNTY,Georgia,GA,1302070,4,Prekindergarten,12th Grade,1870,9127393544,30417,Claxton
,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),New York,NY,3616560,5,Kindergarten,12th Grade,2126,7169262201,14006,ANGOLA
,EVANSTON CCSD 65,Illinois,IL,1714460,17,Prekindergarten,8th Grade,7254,8478598010,60201,Evanston
,EVANSTON DISTS 65/202 JNT AGR,Illinois,IL,1700246,1,–,–,†,8478598091,60201,Evanston
,EVANSTON TWP HSD 202,Illinois,IL,1714490,2,9th Grade,12th Grade,3731,8474247220,60201,Evanston
,EVANSVILLE COMMUNITY SCHOOL DISTRICT,Wisconsin,WI,5504440,4,Prekindergarten,12th Grade,1698,6088825224,53536,Evansville
,EVANSVILLE VANDERBURGH SCHOOL CORP,Indiana,IN,1803450,39,Prekindergarten,12th Grade,22191,8124358453,47713,Evansville
,EVANT ISD,Texas,TX,4818780,2,Prekindergarten,12th Grade,273,2544715536,76525,EVANT
,EVART PUBLIC SCHOOLS,Michigan,MI,2613560,3,Prekindergarten,12th Grade,871,2317345594,49631,EVART
,EVEREST HIGH SCHOOL,Ohio,OH,3901378,1,9th Grade,12th Grade,40,6143671980,43068,Reynoldsburg
,EVEREST PUBLIC HIGH DISTRICT,CALIFORNIA,CA,602229,1,9th Grade,12th Grade,361,6503661050,94063,Redwood City
,EVEREST VALUE DISTRICT,CALIFORNIA,CA,602085,1,Kindergarten,8th Grade,236,2134877736,90005,Los Angeles
,EVERETT,Massachusetts,MA,2504770,10,Prekindergarten,12th Grade,6883,6173897950,2149,Everett
,EVERETT AREA SD,Pennsylvania,PA,4209360,4,Kindergarten,12th Grade,1220,8146529114,15537,EVERETT
,EVERETT COMMUNITY COLLEGE,Washington,WA,5300314,0,–,–,†,4253889100,98201,EVERETT
,EVERETT SCHOOL DISTRICT,Washington,WA,5302670,33,Prekindergarten,12th Grade,20226,4253854000,98213,Everett
,EVERGREEN CHARTER SCHOOL,New York,NY,3600988,1,Kindergarten,9th Grade,699,5162922060,11550,HEMPSTEAD
,EVERGREEN COMMUNITY CHARTER,North Carolina,NC,3700078,1,Kindergarten,8th Grade,441,8282982173,28805,Asheville
,EVERGREEN COMMUNITY CS,Pennsylvania,PA,4200749,1,6th Grade,12th Grade,100,5705956355,18342,Cresco
,EVERGREEN ELEM,Montana,MT,3010920,2,Prekindergarten,8th Grade,662,4067511112,59901,Kalispell
,EVERGREEN ELEMENTARY,California,CA,613140,18,Kindergarten,8th Grade,9789,4082706800,95148,San Jose
,EVERGREEN LOCAL,Ohio,OH,3904705,3,Prekindergarten,12th Grade,1139,4196443521,43540,Metamora
,EVERGREEN PARK CHSD 231,Illinois,IL,1714580,1,9th Grade,12th Grade,865,7083981230,60805,Evergreen Park
,EVERGREEN PARK ESD 124,Illinois,IL,1714550,5,Prekindergarten,8th Grade,1916,7084230950,60805,Evergreen Park
,EVERGREEN SCHOOL,Alabama,AL,100191,1,6th Grade,12th Grade,–,2053432865,35487,Tuscaloosa
,EVERGREEN SCHOOL DISTRICT (CLARK),Washington,WA,5302700,39,Prekindergarten,12th Grade,23564,3606044005,98668,VANCOUVER
,EVERGREEN SCHOOL DISTRICT (STEVENS),Washington,WA,5302730,1,Kindergarten,6th Grade,32,5097226084,99131,GIFFORD
,EVERGREEN STATE COLLEGE,WASHINGTON,WA,5300341,0,–,–,†,3608676000,98505,Olympia
,EVERGREEN UNION,California,CA,613170,6,Kindergarten,12th Grade,1175,5303473411,96022,Cottonwood
,EVERMAN ISD,Texas,TX,4818810,10,Prekindergarten,12th Grade,5648,8175683500,76140,FORT WORTH
,EVERTON R-III,Missouri,MO,2911580,2,Prekindergarten,12th Grade,177,4175352221,65646,EVERTON
,EVESHAM TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3404890,8,Prekindergarten,8th Grade,4329,8569831800,8053,Marlton
,EVOLUTION ACADEMY CHARTER SCHOOL,Texas,TX,4800236,3,9th Grade,12th Grade,667,9729073755,75081,RICHARDSON
,EWEN-TROUT CREEK CONSOLIDATED SCHOOL DISTRICT,Michigan,MI,2600014,1,Prekindergarten,12th Grade,163,9068130620,49925,EWEN
,EWING MARION KAUFFMAN SCHOOL,Missouri,MO,2900597,2,5th Grade,12th Grade,1190,8162685660,64131,KANSAS CITY
,EWING NORTHERN CCSD 115,Illinois,IL,1714640,1,Prekindergarten,8th Grade,218,6186292181,62836,Ewing
,EWING TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3404920,5,Prekindergarten,12th Grade,3444,6095389800,8618,Ewing
,EXALT ACADEMY OF SOUTHWEST LITTLE ROCK,ARKANSAS,AR,500411,1,Kindergarten,8th Grade,518,5015683286,72209,LITTLE ROCK
,EXC CHILDREN HAVE OPPORTUNITIES,Illinois,IL,1701383,9,Kindergarten,12th Grade,–,7089854402,60473,South Holland
,EXCALIBUR CHARTER SCHOOLS INC. (79214),Arizona,AZ,400235,1,Kindergarten,8th Grade,257,4806714584,85120,Apache Junction
,EXCEL ACADEMY,Texas,TX,4800049,4,6th Grade,12th Grade,206,7132224340,77002,HOUSTON
,EXCEL ACADEMY CHARTER (DISTRICT),Massachusetts,MA,2500075,1,5th Grade,12th Grade,1389,6178744080,2128,East Boston
,EXCEL ACADEMY CHARTER DISTRICT,CALIFORNIA,CA,602487,1,Kindergarten,12th Grade,518,9493877822,92618,Irvine
,EXCEL ACADEMY CHARTER DISTRICT,CALIFORNIA,CA,602500,1,Kindergarten,12th Grade,1187,9493877822,92618,Irvine
,EXCEL CENTER - ANDERSON,Indiana,IN,1800116,1,10th Grade,12th Grade,303,8889599062,46016,Anderson
,EXCEL CENTER - BLOOMINGTON,INDIANA,IN,1800209,1,10th Grade,12th Grade,163,3174889081,47403,Bloomington
,EXCEL CENTER - CLARKSVILLE,INDIANA,IN,1800182,1,10th Grade,12th Grade,328,3175244380,47129,Clarksville
,EXCEL CENTER - GARY,INDIANA,IN,1800200,1,11th Grade,12th Grade,121,2197895236,46408,Gary
,EXCEL CENTER - HAMMOND,INDIANA,IN,1800185,1,11th Grade,12th Grade,235,2198441911,46323,Hammond
,EXCEL CENTER - KOKOMO,Indiana,IN,1800135,1,10th Grade,12th Grade,366,3175243642,46901,Kokomo
,EXCEL CENTER - LAFAYETTE,Indiana,IN,1800142,1,10th Grade,12th Grade,312,3175243641,47904,Lafayette
,EXCEL CENTER - LAFAYETTE SQUARE,Indiana,IN,1800138,1,10th Grade,12th Grade,348,3175243925,46224,Indianapolis
,EXCEL CENTER - MUNCIE,INDIANA,IN,1800197,1,10th Grade,12th Grade,286,7652830916,47305,Muncie
,EXCEL CENTER - NOBLESVILLE,INDIANA,IN,1800163,1,10th Grade,12th Grade,185,3175243925,46222,Noblesville
,EXCEL CENTER - RICHMOND,Indiana,IN,1800134,1,10th Grade,12th Grade,237,3175243734,47374,Richmond
,EXCEL CENTER - SHELBYVILLE,INDIANA,IN,1800175,1,10th Grade,12th Grade,161,3175244627,46176,Shelbyville
,EXCEL CENTER - SOUTH BEND,INDIANA,IN,1800169,1,11th Grade,12th Grade,261,5743145570,46619,South Bend
,EXCEL CENTER - UNIVERSITY HEIGHTS,INDIANA,IN,1800159,1,11th Grade,12th Grade,387,3175243925,46227,Indianapolis
,EXCEL CENTER FOR ADULT LEARNERS,Indiana,IN,1800093,1,10th Grade,12th Grade,1318,3175243925,46222,Indianapolis
,EXCEL CHARTER ACADEMY,Michigan,MI,2600093,1,Kindergarten,12th Grade,780,6162819339,49512,GRAND RAPIDS
,EXCEL INSTITUTE,Alabama,AL,100184,1,†,†,†,2565469176,35902,Gadsden
,EXCELL ACADEMY CHARTER,Minnesota,MN,2700184,1,Prekindergarten,8th Grade,465,7635330500,55429,BROOKLYN PARK
,EXCELLENCE BOYS CHARTER SCHOOL OF BEDFORD STUYVESANT,New York,NY,3600114,1,Kindergarten,8th Grade,670,7186381830,11233,BROOKLYN
,EXCELLENCE GIRLS CHARTER SCHOOL,New York,NY,3601000,1,Kindergarten,12th Grade,1379,7186381875,11221,BROOKLYN
,EXCELLENCE IN LEADERSHIP ACADEMY,Texas,TX,4801433,1,Prekindergarten,8th Grade,300,9564249504,78572,MISSION
,EXCELSIOR ACADEMY,Utah,UT,4900136,1,Kindergarten,8th Grade,1331,4358823062,84074,ERDA
,EXCELSIOR CHARTER DISTRICT,CALIFORNIA,CA,602313,1,7th Grade,12th Grade,2044,7602454262,92392,Victorville
,EXCELSIOR CHARTER SCHOOL CORONA-NORCO DISTRICT,CALIFORNIA,CA,601966,1,7th Grade,12th Grade,125,7602454262,92392,Corona
,EXCELSIOR CLASSICAL ACADEMY,NORTH CAROLINA,NC,3700384,1,Kindergarten,9th Grade,846,9192138585,27704,Durham
,EXCELSIOR ISD,Texas,TX,4818840,1,Prekindergarten,8th Grade,71,9365985866,75935,CENTER
,EXCELSIOR SPRINGS 40,Missouri,MO,2911650,8,Prekindergarten,12th Grade,2693,8166309200,64024,EXCELSIOR SPRINGS
,EXCELSIOR TOWNSHIP S/D #1,Michigan,MI,2613680,1,Kindergarten,8th Grade,44,2319226200,49646,KALKASKA
,EXCEPTIONAL LEARNERS,ILLINOIS,IL,1701420,0,–,–,†,2245136444,60061,Vernon Hills
,EXECUTIVE EDUCATION ACADEMY CS,PENNSYLVANIA,PA,4200879,1,Kindergarten,12th Grade,1338,6108417044,18109,Allentown
,EXETER R-VI,Missouri,MO,2911670,2,Prekindergarten,12th Grade,293,4178352922,65647,EXETER
,EXETER REGION COOP SCHOOL DISTRICT,New Hampshire,NH,3300017,2,6th Grade,12th Grade,2633,6037758653,3833,Exeter
,EXETER SAU OFFICE,New Hampshire,NH,3399916,0,†,†,†,6037758653,3833,Exeter
,EXETER SCHOOL DISTRICT,New Hampshire,NH,3302970,2,Prekindergarten,5th Grade,862,6037758653,3833,Exeter
,EXETER TOWNSHIP SD,Pennsylvania,PA,4209480,6,Kindergarten,12th Grade,3853,6107790700,19606,Reading
,EXETER UNIFIED,California,CA,601423,7,Kindergarten,12th Grade,2637,5595929421,93221,Exeter
,EXETER-MILLIGAN PUBLIC SCHOOLS,Nebraska,NE,3100133,3,Prekindergarten,12th Grade,163,4022665911,68351,EXETER
,EXETER-WEST GREENWICH,Rhode Island,RI,4400360,5,Prekindergarten,12th Grade,1564,4013975125,2817,West Greenwich
,EXIRA-ELK HORN- KIMBALLTON COMM SCH DIST,Iowa,IA,1911250,2,Prekindergarten,12th Grade,362,7127644616,51531,Elk Horn
,EXPLORATION ELE CS - SCIENCE-TECHNOL,NEW YORK,NY,3601168,1,Kindergarten,4th Grade,339,5854984700,14613,ROCHESTER
,EXPLORATIONS DISTRICT,Connecticut,CT,900018,1,9th Grade,12th Grade,85,8607389070,6098,Winsted
,EXPLORE ACADEMY,NEW MEXICO,NM,3500167,1,6th Grade,12th Grade,646,5053361466,87109,ALBUQUERQUE
,EXPLORE CHARTER SCHOOL,New York,NY,3600157,1,Kindergarten,8th Grade,570,7187034484,11226,BROOKLYN
,EXPLORE EMPOWER CHARTER SCHOOL,New York,NY,3600994,1,Kindergarten,8th Grade,494,7187712090,11213,BROOKLYN
,EXPLORE EXCEED CHARTER SCHOOL,New York,NY,3601058,1,Kindergarten,8th Grade,460,7189896702,11238,BROOKLYN
,EXPLORE EXCEL CHARTER SCHOOL,New York,NY,3601052,1,Kindergarten,8th Grade,571,7183033245,11236,BROOKLYN
,EXTERA PUBLIC DISTRICT,CALIFORNIA,CA,601804,1,Kindergarten,8th Grade,467,3237808300,90033,Los Angeles
,EXTERA PUBLIC SCHOOL NO. 2 DISTRICT,CALIFORNIA,CA,601795,1,Kindergarten,5th Grade,381,3232633600,90023,Los Angeles
,EZEQUIEL TAFOYA ALVARADO ACADEMY DISTRICT,CALIFORNIA,CA,602153,1,Kindergarten,8th Grade,604,5596752070,93638,Madera
,EZZELL ISD,Texas,TX,4818890,1,Prekindergarten,8th Grade,77,3617984448,77964,HALLETTSVILLE
,FABENS ISD,Texas,TX,4818900,4,Prekindergarten,12th Grade,2048,9157652600,79838,FABENS
,FABIUS-POMPEY CENTRAL SCHOOL DISTRICT,New York,NY,3610860,2,Kindergarten,12th Grade,608,3156835301,13063,FABIUS
,FACE TO FACE ACADEMY,Minnesota,MN,2700157,1,9th Grade,12th Grade,97,6517725544,55106,SAINT PAUL
,FAIR GROVE R-X,Missouri,MO,2911700,3,Prekindergarten,12th Grade,1127,4177592233,65648,FAIR GROVE
,FAIR HAVEN SCHOOL DISTRICT,New Jersey,NJ,3404950,2,Prekindergarten,8th Grade,969,7327472294,7704,Fair Haven
,FAIR LAWN PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3404980,9,Prekindergarten,12th Grade,5311,2017945500,7410,Fair Lawn
,FAIR PLAY R-II,Missouri,MO,2911730,3,Prekindergarten,12th Grade,320,4176542231,65649,FAIR PLAY
,FAIR-MONT-EGAN ELEM,Montana,MT,3010230,2,Prekindergarten,8th Grade,160,4067557072,59901,Kalispell
,FAIRBANKS LOCAL,Ohio,OH,3905032,3,Kindergarten,12th Grade,1086,9373493731,43045,Milford Center
,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Alaska,AK,200600,36,Prekindergarten,12th Grade,11386,9074522000,99701,Fairbanks
,FAIRBORN CITY,Ohio,OH,3904396,4,Prekindergarten,12th Grade,4044,9378783961,45324,Fairborn
,FAIRBORN DIGITAL ACADEMY,Ohio,OH,3900155,1,9th Grade,12th Grade,162,9378790511,45324,Fairborn
,FAIRBURY PUBLIC SCHOOLS,Nebraska,NE,3170440,3,Prekindergarten,12th Grade,918,4027296104,68352,FAIRBURY
,FAIRFAX CO PBLC SCHS,Virginia,VA,5101260,222,Prekindergarten,12th Grade,180028,5714231010,22042,Falls Church
,FAIRFAX ELEMENTARY,California,CA,613290,4,Kindergarten,8th Grade,2703,6613667221,93307,Bakersfield
,FAIRFAX R-III,Missouri,MO,2911760,3,Prekindergarten,12th Grade,150,6606862421,64446,FAIRFAX
,FAIRFAX SCHOOL DISTRICT,Vermont,VT,5003930,2,Prekindergarten,12th Grade,1013,8028496711,5454,Fairfax
,FAIRFAX-FALLS CHURCH COMM SVCS BD,Virginia,VA,5100105,0,Ungraded,Ungraded,0,7033245834,22035,Fairfax
,FAIRFIELD,Kansas,KS,2008310,1,Prekindergarten,12th Grade,286,6205962152,67583,Langdon
,FAIRFIELD 01,South Carolina,SC,4502100,8,Prekindergarten,12th Grade,2414,8036354607,29180,Winnsboro
,FAIRFIELD AREA SD,Pennsylvania,PA,4209540,3,Kindergarten,12th Grade,901,7176428228,17320,Fairfield
,FAIRFIELD CITY,Ohio,OH,3904610,10,Prekindergarten,12th Grade,9708,5138296300,45014,Fairfield
,FAIRFIELD CITY,Alabama,AL,101440,6,Prekindergarten,12th Grade,1552,2057836850,35064,Fairfield
,FAIRFIELD COMM H S DIST 225,Illinois,IL,1726180,1,9th Grade,12th Grade,429,6188422649,62837,Fairfield
,FAIRFIELD COMM SCHOOL DISTRICT,Iowa,IA,1911340,4,Prekindergarten,12th Grade,1611,6414722655,52556,Fairfield
,FAIRFIELD COMMUNITY SCHOOLS,Indiana,IN,1803480,4,Kindergarten,12th Grade,2173,5748312188,46528,Goshen
,FAIRFIELD COUNTY ESC,Ohio,OH,3904683,0,Prekindergarten,Prekindergarten,0,7406533193,43130,Lancaster
,FAIRFIELD ELEM,Montana,MT,3010140,2,Prekindergarten,8th Grade,194,4064672425,59436,Fairfield
,FAIRFIELD H S,Montana,MT,3010170,1,9th Grade,12th Grade,123,4064672528,59436,Fairfield
,FAIRFIELD ISD,Texas,TX,4818940,4,Prekindergarten,12th Grade,1703,9033892532,75840,FAIRFIELD
,FAIRFIELD LOCAL,Ohio,OH,3904762,3,Prekindergarten,12th Grade,893,9377802221,45135,Leesburg
,FAIRFIELD PSD 112,Illinois,IL,1714710,2,Prekindergarten,8th Grade,629,6188426501,62837,Fairfield
,FAIRFIELD PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3405010,2,Prekindergarten,6th Grade,696,9732275586,7004,Fairfield
,FAIRFIELD SCHOOL DISTRICT,Connecticut,CT,901530,16,Prekindergarten,12th Grade,9387,2032558371,6825,Fairfield
,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ,3405040,1,Prekindergarten,8th Grade,481,8564531882,8302,Bridgeton
,FAIRFIELD UNION LOCAL,Ohio,OH,3904687,4,Kindergarten,12th Grade,1894,7405367384,43130,Lancaster
,FAIRFIELD-SUISUN UNIFIED,California,CA,613360,30,Kindergarten,12th Grade,20703,7073995000,94534,Fairfield
,FAIRHAVEN,Massachusetts,MA,2504800,4,Prekindergarten,12th Grade,1918,5089794000,2719,Fairhaven
,FAIRLAND,Oklahoma,OK,4011250,3,Prekindergarten,12th Grade,598,9186763811,74343,Fairland
,FAIRLAND LOCAL,Ohio,OH,3904793,4,Prekindergarten,12th Grade,1435,7408863100,45669,Proctorville
,FAIRLAWN LOCAL,Ohio,OH,3904977,2,Prekindergarten,12th Grade,599,9374921974,45365,Sidney
,FAIRLESS LOCAL,Ohio,OH,3904984,3,Prekindergarten,12th Grade,1337,3307673577,44662,Navarre
,FAIRMONT AREA SCHOOL DISTRICT,Minnesota,MN,2700124,2,Prekindergarten,12th Grade,1751,5072384234,56031,FAIRMONT
,FAIRMONT SD 89,Illinois,IL,1714760,1,Prekindergarten,8th Grade,313,8157266318,60441,Lockport
,FAIRMOUNT 18,North Dakota,ND,3806690,2,Prekindergarten,12th Grade,119,7014745469,58030,Fairmount
,FAIRPORT CENTRAL SCHOOL DISTRICT,New York,NY,3610890,8,Kindergarten,12th Grade,5574,5854212004,14450,FAIRPORT
,FAIRPORT HARBOR EXEMPTED VILLAGE,Ohio,OH,3904536,2,Kindergarten,12th Grade,610,4403545400,44077,Fairport Harbor
,FAIRVIEW,Oklahoma,OK,4011280,3,Prekindergarten,12th Grade,720,5802272531,73737,Fairview
,FAIRVIEW AREA SCHOOL DISTRICT,Michigan,MI,2610560,1,Prekindergarten,12th Grade,311,9898487004,48621,FAIRVIEW
,FAIRVIEW ELEM,Montana,MT,3010210,2,Prekindergarten,8th Grade,178,4067425265,59221,Fairview
,FAIRVIEW H S,Montana,MT,3010290,1,9th Grade,12th Grade,117,4067425265,59221,Fairview
,FAIRVIEW INDEPENDENT,Kentucky,KY,2101800,2,Prekindergarten,12th Grade,661,6063243877,41102,Ashland
,FAIRVIEW PARK CITY,Ohio,OH,3904397,4,Prekindergarten,12th Grade,1580,4403315500,44126,Fairview Park
,FAIRVIEW PUBLIC SCHOOL DISTRICT,New Jersey,NJ,3405070,3,Prekindergarten,8th Grade,1553,2019430564,7022,Fairview
,FAIRVIEW R-XI,Missouri,MO,2911850,1,Prekindergarten,8th Grade,480,4172561063,65775,WEST PLAINS
,FAIRVIEW SD,Pennsylvania,PA,4209570,3,Kindergarten,12th Grade,1801,8144742600,16415,Fairview
,FAIRVIEW SD 72,Illinois,IL,1714820,1,Kindergarten,8th Grade,765,8479291050,60077,Skokie
