Tool,UID,Activity ID,Activity Name,Lexile Raw,Grade Band
Grammar,-KpG8KHlIyBRJY1Yby03,506,Compound Objects,300-400,4th-5th
Grammar,-KpGguuur4UqHmOpYkAF,507,Compound Predicates 1,300-400,4th-5th
Grammar,-KybNc1Xkj1Yz59OoNaA,603,"Could, Would, Should",300-400,4th-5th
Connect,-L471QH1c4Xngw2w-xIK,693,Follow-up Activity for Lesson 1: Single Adjectives,300-400,4th-5th
Connect,-L485jWUnJhvNetV-4H3,695,"Follow-up Activity for Lesson 2: And, Or, But, So Review",300-400,4th-5th
Connect,-L4D2mS9TseHnvYyg06Y,698,Follow-up Activity for Lesson 1: Adverbs,300-400,4th-5th
Connect,-L5Ag5RrmtBSRh6TB9Q6,712,Grand Teton National Park: Prepositional Phrases,300-400,4th-5th
Connect,-L4g-FHUF_4A9BpVc7Uc,713,Cumulative Adjectives 1 (Starter),300-400,4th-5th
Connect,-L9kxNh-Rg0TdAg4pTs9,752,Parallel Structure 1 (Starter),300-400,4th-5th
Connect,-LBNPyvS13vIqpF5RqG1,762,Pronouns in Compound Objects (Starter),300-400,4th-5th
Connect,-LBWRscJd9KC6K5UVL_Z,765,Subject-Verb Agreement with Interrupters (Starter),300-400,4th-5th
Connect,-LBXTUd_fhzTXnVSQfnj,766,Subject-Verb Agreement with Compound Subjects 1,300-400,4th-5th
Connect,-LBgXZl1hPHrHeZE32JD,768,Subject-Verb Agreement with Collective Nouns (Starter),300-400,4th-5th
Connect,-LBgjL0C5W9JrVyzyXJ4,769,Subject-Verb Agreement with Collective Nouns (Intermediate),300-400,4th-5th
Connect,-LC4oP1vZaRkuZkQ0QIu,770,Subject-Verb Agreement with Indefinite Pronouns 1,300-400,4th-5th
Connect,-LCZhYVq7iWBms9O8iux,772,Subject-Verb Agreement with Either/Or and Neither/Nor 1 (Starter),300-400,4th-5th
Connect,-LCnwom23g5ssi7lr0Kc,774,Subject-Verb Agreement: Subject After the Verb (Starter),300-400,4th-5th
Connect,-LEAVuIlgjCGtJaGnUN2,777,Single Adjectives 2,300-400,4th-5th
Connect,-LFxV54KzO-3mN08IgdG,786,Follow-up Activity for Lesson 1: Apostrophes,300-400,4th-5th
Grammar,-LJVM_F1YjIQCS01gEBy,805,"Women, Men, Children, People",300-400,4th-5th
Grammar,-LJVSiLU1wngeh63fZN2,806,Singular Possessive Nouns,300-400,4th-5th
Grammar,-LJVmAZX_uDIOsUnuYCI,809,Possessive Pronouns,300-400,4th-5th
Grammar,-LJ_F8oKrNwCx6bGWjmz,812,"Went, sent, swam, ran",300-400,4th-5th
Grammar,-LJ_GHcubTDuPOVX2HhP,815,"Broke, Spoke",300-400,4th-5th
Grammar,-LJ_ONPXzcD69TEicuJx,816,"Bought, fought, thought",300-400,4th-5th
Connect,-LKYSr60CeTModqohq4y,822,Follow-Up Activity for Lesson 1: Pronoun Number and Case Errors,300-400,4th-5th
Connect,-LKYdBBZvBgKg-LjOCu1,823,Follow-Up Activity for Lesson 2: Pronoun-Antecedent Agreement Errors,300-400,4th-5th
Connect,-LKgpPN2aWe_8tamPemf,826,"Follow-Up Activity for Lesson 1: Colons, Dashes, and Semicolons",300-400,4th-5th
Connect,-LNLX8XiOFL5fubpnL4n,837,"Compound Subjects, Objects, and Predicates 2",300-400,4th-5th
Connect,-LM3rorg-oBJra8KXGbK,844,Adjectives vs. Adverbs,300-400,4th-5th
Connect,-LNuYq4pXxmchQUUAB8o,848,Plural Possessive Nouns,300-400,4th-5th
Connect,-LOK2A7L9RPwXN5TTgfu,852,Plural and Singular Possessive Nouns,300-400,4th-5th
Connect,-LOs79HLbItPxh7-pRUt,856,Compound Possession with Two Nouns,300-400,4th-5th
Connect,-LP8Iq_LGjAUNTgkAdGR,861,Conjunctive Adverbs Review 1 (Intermediate),300-400,4th-5th
Connect,-LP84xrUrVcbdB8O96VZ,863,"Furthermore, Similarly, In addition, Moreover (Starter)",300-400,4th-5th
Connect,-LRSKHI7YboS363xmfm2,870,Conjunctive Adverbs Review 2 (Intermediate),300-400,4th-5th
Connect,-LrB15GCpuw4QLOFRpOo,1054,Simple Subject-Verb Agreement 3,300-400,4th-5th
Connect,-LuZw4uebj3V-TzIGmUA,1157,Activity 51: Compound Objects with To Have,300-400,4th-5th
Connect,-Lv2v7iQSIsnKSFa5Y5A,1160,Activity 54: Listing Objects in To Have Sentences,300-400,4th-5th
Connect,48c9f7ff-5383-4487-a45d-41cabec1e55e,1317,Replacing Nouns with Pronouns,300-400,4th-5th
Connect,48c9f7ff-5383-4487-a45d-41cabec1e55e,1317,Replacing Nouns with Pronouns,300-400,4th-5th
Grammar,72c938f8-ac9f-45dc-9eeb-8cab93f85dc7,1368,"At, In, On (Time) 2",300-400,4th-5th
Grammar,72c938f8-ac9f-45dc-9eeb-8cab93f85dc7,1368,"At, In, On (Time) 2",300-400,4th-5th
Grammar,8d717fa8-4de8-4bea-9533-bce8d31a338e,1378,"Of, For, With, From 2",300-400,4th-5th
Grammar,34a7b5ed-4e72-45b9-9903-223a6b0cc512,1382,Comparative and Superlative Adjectives 2,300-400,4th-5th
Connect,d34b2f64-6883-4258-948c-96a882564959,1420,Compound Possession with Two Nouns 2,300-400,4th-5th
Connect,1f9ec6bb-987b-4e1a-b500-11e4eafabf0e,1427,"You're, Your 2",300-400,4th-5th
Connect,7404bb37-d6c9-4767-9a43-8aac91485c3d,1430,Plural and Singular Possessive Nouns 2,300-400,4th-5th
Grammar,u7uHk9U_4Bfc64knFYPrJA,88,"Than & Then, You're & Your, Lose, Loose",400-500,4th-5th
Grammar,Vg-8y7ZBMan9rfg_1fp5ng,90,"Thrown & Throne, Meant & Mint",400-500,4th-5th
Grammar,J0L52IXhhtX6Y02MoZi5tw,107,"It's, Its",400-500,4th-5th
Grammar,T7c7UR2l3wkm2yZheLhtMA,109,"Lose, Loose",400-500,4th-5th
Grammar,KfXZjcff6YVWh1fbRzGr4w,110,"Than, Then",400-500,4th-5th
Grammar,rwSTz7k4JpTOrCun1PlBuA,111,"Their, They're, There",400-500,4th-5th
Grammar,rwSTz7k4JpTOrCun1PlBuA,111,"Their, They're, There",400-500,4th-5th
Grammar,-K293EqvyXPYPunqKS2_,113,"You're, Your",400-500,4th-5th
Grammar,rkhMz0hsImTienlg_ZkxUg,123,The Progressive Tense,400-500,4th-5th
Grammar,QgAVWhUjmv2zDq0h286_3g,125,"Comparative and Superlative Adjectives Ending in ""Y""",400-500,4th-5th
Grammar,Pmp8kDTxMHtqyIpKg847Qg,132,"Knew, Made, Became",400-500,4th-5th
Grammar,562-2iTWwgif3Wc8_snemw,134,"Myself, Yourself",400-500,4th-5th
Grammar,40F3qnu3khw2ooEw2oZwLQ,136,"At, In, On (Time)",400-500,4th-5th
Grammar,PjbnqedMVMacwSdW9aI8CQ,137,"At, In, On (Place)",400-500,4th-5th
Grammar,He-CBHrPMzoJoSuMchS70g,141,"These, Those",400-500,4th-5th
Grammar,y-lv6h26cGCMM67dQkJTFw,144,Change Sentences from Passive to Active,400-500,4th-5th
Grammar,fypnCOoeIlxSWX0tHEsmkA,145,"Irregular Plural Nouns Ending With ""F,"" ""Fe,"" and ""O""",400-500,4th-5th
Grammar,83KWWwB6tOWV7mnw82GHaQ,148,"Children, People",400-500,4th-5th
Grammar,Df6UhR841LwhCCllgbxGaQ,151,Common and Proper Nouns,400-500,4th-5th
Grammar,l2FMdpAa6IHtoqwj-CJd_Q,154,Past Tense Verbs,400-500,4th-5th
Grammar,-K2U8Dqy9GInZqSnVnvm,155,Future Tense Verbs,400-500,4th-5th
Grammar,tWwOHnapjOTXqMQOY6p7-g,156,"And, Or",400-500,4th-5th
Grammar,RCwqGgUB1UFEiY2R1kiJCg,158,Adjectives and Adverbs,400-500,4th-5th
Grammar,p9vLW311-ERaw8j4QKAXXA,163,"I'm, You're, Let's",400-500,4th-5th
Grammar,bDQ1uJkluM52fJKOeNPbfA,166,"Made, Lost, Gone",400-500,4th-5th
Grammar,C0ERZcH2Wyk1kH9h5QhzfA,167,"Eaten, Been, Regular Past Participles",400-500,4th-5th
Grammar,aQNhjTfGqT1oFEEAmcnLMA,173,Placing Prepositional Phrases,400-500,4th-5th
Grammar,-pDVJoysqQwbsmrzdxnFzg,175,Subject and Object Pronoun Agreement 2,400-500,4th-5th
Grammar,j_FCTgOtYuOPhrn6opBb7A,182,Use Commas for Dates and Lists,400-500,4th-5th
Grammar,-KCM_ulOmve7D1h4QnsF,271,Regular Past Tense Verbs,400-500,4th-5th
Grammar,-KCN2NnIW6kkf_2wwXgg,273,"A Lot, All Right",400-500,4th-5th
Grammar,-KCN8FABYrcASdcjZ39x,277,"Nor, Yet",400-500,4th-5th
Grammar,-KCN9Vnx-ivO8Jf2ZGfH,279,"Regardless, Figuratively",400-500,4th-5th
Grammar,-KCNAo2XGM2xR6-Sfhdf,281,"Into, Through ",400-500,4th-5th
Grammar,-KCNB6NOG5TX3h8dCfRw,282,"To, Over, Toward ",400-500,4th-5th
Grammar,-KCNBxBe-uau1e2SjqVz,283,Irregular Plural Nouns,400-500,4th-5th
Grammar,-KCNFCpOY8Too15zwHyI,287,"Dug, Drank, Fell",400-500,4th-5th
Grammar,-KCNGyyEKnZMvetjC0Pe,289,"After, Although, Since",400-500,4th-5th
Grammar,-KCNHNDkDFGE6-z4c96Z,290,"Before, By The Time, Even Though",400-500,4th-5th
Grammar,-KCNHpVOH8z8Jg0tmqIt,293,"By, As, Like",400-500,4th-5th
Grammar,-KCNIKP-Q20bCQCDJJ7E,295,"Once, Since, So That",400-500,4th-5th
Grammar,-KCNIbJgvONIT8f0j3jp,296,"Unless, Until, When",400-500,4th-5th
Grammar,-KCNJGE5HBE_YPtt7Hby,298,Pronoun-Antecedent Agreement,400-500,4th-5th
Grammar,-KCqFPKCesFhSTYM09ED,305,"Even If, Every Time",400-500,4th-5th
Grammar,-KCqGUp2oTyhBUAIqm3m,306,"The First Time, As Soon As, Than",400-500,4th-5th
Connect,-KQX-YEGiFW71KKpep2X,417,Time Conjunctions 1 (Starter),400-500,4th-5th
Connect,-KQX18KQAX6NHIuSOQiM,420,"As long as, If, Unless 1 (Starter)",400-500,4th-5th
Connect,-KTAQiTDo_9gAnk3aBG5,424,And (Starter),400-500,4th-5th
Connect,-KS7Morubx0PZ7ToGtXH,428,"But, So 1 (Starter)",400-500,4th-5th
Connect,-KS7QDRfWsPhAZF27hfL,429,"But, So (Intermediate)",400-500,4th-5th
Connect,-KRizUHvbl3hLJH6eey3,433,Adjectives in Lists,400-500,4th-5th
Connect,-KRns-oa6uC1gKsyJiNw,438,Adverbs of Manner 1 (Starter),400-500,4th-5th
Connect,-KRnsBmBWzVAy8vKN1H4,439,Adverbs of Manner 2 (Starter),400-500,4th-5th
Connect,-KRnsNQspGTdfFf2-EfW,440,Adverbs of Manner 3 (Starter),400-500,4th-5th
Connect,-KS7qtyRRore9kMLAuU2,443,-ing Participial Phrases at the Beginning 1,400-500,4th-5th
Connect,-KVfLA0gnKAx8GlAlkIK,448,Appositives in the Middle 2,400-500,4th-5th
Grammar,-KmRzsBmTPlA-D3SzZE5,495,"Further, Farther",400-500,4th-5th
Grammar,-KpGikrGrH0iZn9sBqce,508,Adverbs of Manner,400-500,4th-5th
Grammar,-KpHDtybZMQnEk1sNGdI,512,Future Progressive,400-500,4th-5th
Grammar,-KpHHCGtc7wUllV3W9qK,513,Prepositions of Time,400-500,4th-5th
Grammar,-Kr6AA-4vc6ggP32Fhcf,552,Pronouns with Collective Nouns,400-500,4th-5th
Grammar,-Kr79v3kndXCv9opzopi,553,Compound Subjects and Objects:,400-500,4th-5th
Connect,-Kvhq6xYWxzKp2AFUnAW,592,That 1 (Starter),400-500,4th-5th
Grammar,-L0udJg9M0ETmF6k0zJ6,636,Future Perfect,400-500,4th-5th
Grammar,-L0uj0I4MC3Wp2NaXWoL,637,Past Progressive Perfect,400-500,4th-5th
Connect,-L0ut-laXV4wLzk90dc7,638,Using The with Proper Nouns 1,400-500,4th-5th
Connect,-L4DGUPmBKouQvqwkrMp,699,Follow-up Activity for Lesson 2: Adverbs Review,400-500,4th-5th
Connect,-L4g1S_14e8SYcyF-7Ky,714,Cumulative Adjectives 2 (Starter),400-500,4th-5th
Connect,-L4g3j-cWT-MV2BIq_iQ,715,Cumulative Adjectives 3 (Starter),400-500,4th-5th
Connect,-L4g54p2oYfDNWT7oiLC,716,Cumulative Adjectives 4 (Starter),400-500,4th-5th
Connect,-L6ISWdNu__c2ZaqGyZQ,736,Present Progressive Tense (Starter),400-500,4th-5th
Connect,-L8-889q--lxlUMRQ7fS,746,Present Perfect Follow-up,400-500,4th-5th
Connect,-LBMo-QzVvdNPKglNmDI,761,Pronouns in Compound Subjects (Starter),400-500,4th-5th
Connect,-LBSRdcmutsxl0OMK2Nk,764,Pronouns in Compound Subjects and Objects 2 (Intermediate),400-500,4th-5th
Connect,-LBWhgWXMxihFX-C2TEi,767,Subject-Verb Agreement with Compound Subjects 2,400-500,4th-5th
Connect,-LCd_KzlWZBuh3VTea8Q,773,Subject-Verb Agreement with Either/Or and Neither/Nor 1 (Intermediate),400-500,4th-5th
Grammar,-LJKlQcKOLQag12qoZdt,802,Capitalize Geographic Names,400-500,4th-5th
Grammar,-LJL9mgmovJ5NLcnT4hy,804,Capitalize Names of People,400-500,4th-5th
Grammar,-LJ_EPYPwarYKgLJjmRD,811,"Ate, drank, made",400-500,4th-5th
Grammar,-LJ_FYHQdWlMSZBYfd75,813,"Knew, became",400-500,4th-5th
Grammar,-LJ_FY-kG3fTvhUv61OO,814,"Knew, became",400-500,4th-5th
Grammar,-LJ_S0PIeTQ8xg5I46I6,817,Common Contractions,400-500,4th-5th
Grammar,-LJpMjwExNqu-S9Imnb3,818,"Was, were",400-500,4th-5th
Grammar,-LK8WlaBkspSe6rFuljE,821,Commas in Lists,400-500,4th-5th
Connect,-LLpeChR30PiU3b84feE,840,Capitalizing Titles of People,400-500,4th-5th
Connect,-LM47LgZDc8BV5Ro4Fdz,845,"Later, First, Instead, Next (Starter)",400-500,4th-5th
Connect,-LNqmoxU-SrpA8BLhomO,847,Coordinate Adjectives,400-500,4th-5th
Connect,-LNr_skbr1dzork539o9,851,"Consequently, As a result (Starter)",400-500,4th-5th
Connect,-LRm3buJTcsab0RcFUgH,875,Reduced Relative Clauses,400-500,4th-5th
Grammar,-LavSRZ2mUlc5-RzI1gP,989,Adverbs of Frequency,400-500,4th-5th
Connect,-LjGfkfki4VvQZ54ZGhx,997,Conjunctive Adverbs (Starter),400-500,4th-5th
Connect,-LlYWL7VmlpOb6G14nul,1037,Parallel Structure 3,400-500,4th-5th
Connect,-LsIb-e1GJpCauB_6Xyj,1057,Single Adjectives 3,400-500,4th-5th
Grammar,J0M763eGYcY3awHyNDhbrA,1327,Correcting Messy Sentences,400-500,4th-5th
Grammar,a146fa66-c172-45c2-b5be-18b630429793,1340,"At, In, On (Place) 2",400-500,4th-5th
Grammar,4cb1ab15-6d3a-4cd2-a7e5-525c25647f48,1386,Plural versus Possessive Nouns 2,400-500,4th-5th
Grammar,f380effc-0319-420d-a79d-94cc61473c0e,1406,"Better & Best, Worse & Worst 2",400-500,4th-5th
Connect,24bd84ad-7566-420a-8cdb-880c184e47e8,1428,"Their, They're, There 2",400-500,4th-5th
Connect,ace4c2b8-2356-4f27-abea-c3f27a9a2bad,1429,"To, Too, Two 2",400-500,4th-5th
Proofreader,TDxSUNhO0e8mQkQO8w_wow,7,Apples,500-600,4th-5th
Proofreader,R4LLUDAwWtIrqSWZc1BnTw,13,A Little Stranger on the Road,500-600,4th-5th
Proofreader,h3sGPjz1IkIgl3ODIozsUg,51,Anything You Can Do I Can Do Better!,500-600,4th-5th
Proofreader,hWzAjPQdyb9stlTylE2pGA,53,Janet Sends a Letter,500-600,4th-5th
Proofreader,FY9FiEjHFO5mFD-rx-rayg,63,Baking a Cake,500-600,4th-5th
Proofreader,-K2u3cDLc7rTxvFUO1Yc,253,Rosemary’s Diary,500-600,4th-5th
Proofreader,-K2wLiqledOH4jIhiNCn,256,The Fox and The Crow,500-600,4th-5th
Proofreader,-KqYSjSU.S.SUnLNETJEzg,529,What's in a Bean?,500-600,4th-5th
Proofreader,-KqYXnbNX5-yKYBF0MHF,530,Fruit or Vegetable?,500-600,4th-5th
Grammar,tBNOYG2ubqVo5d3NbMdYtA,94,"Please & Pleas, Finally & Finely",500-600,6th-7th
Grammar,ldc90hxcrRwQNPpYqjmx9g,118,"Whose, Whom, Who",500-600,6th-7th
Grammar,Hn_2dMSFi7sKtsYdyzgpzw,121,"Which, That",500-600,6th-7th
Grammar,O9nI_ezZT674x5iAu-lZkw,122,"Where, Why, When",500-600,6th-7th
Grammar,IkjAvx6AlzhcOGGRBGl3VA,127,Capitalizing Words in Titles,500-600,6th-7th
Grammar,mom0aXTHMa3htgZuHspCzA,133,"Saw, Dug, Found",500-600,6th-7th
Grammar,rsO9fngkBsTulzL_v5WS8w,142,Change into Proper Passive or Active Sentences,500-600,6th-7th
Grammar,Btxe2rIa8xvEwzG8iv3hXw,143,Change Sentences from Active to Passive,500-600,6th-7th
Grammar,quYQkbclq0E41N3RZb88pA,150,Subject-Verb Agreement,500-600,6th-7th
Grammar,TEpiDLzhPCokb82RnlButQ,152,Form & Use Possessives 2,500-600,6th-7th
Grammar,Pgcl7c_giqeHwWvdgJA3CQ,157,"So, Because",500-600,6th-7th
Grammar,PRhQFX34V5ZB13K-HF0X2A,159,Adjectives to Adverbs —  Consonant Ending,500-600,6th-7th
Grammar,anXj_QMJm8TU_W9R3yIX0w,160,"Adjectives to Adverbs Ending in ""y"" and ""e""",500-600,6th-7th
Grammar,8loxjcP_fmux7lrFGonEWA,172,Recognize and Correct Inappropriate Shifts in Verb Voice and Mood,500-600,6th-7th
Grammar,80MBG8k-lo_zuAUY4Sxd8g,174,Intensive Pronouns,500-600,6th-7th
Grammar,u5e9k_QsDNfQZ1zCBdTnxw,177,Colons and Commas in a List,500-600,6th-7th
Grammar,c8OTV2Y7hrSqf9FNYqedTg,178,Correct Capitalization,500-600,6th-7th
Grammar,ewWTroOWUOJ0cVADnnaavQ,179,Form and Use Possessives,500-600,6th-7th
Grammar,lQm65Mm93flT8iqAJFxsnQ,180,Commas and Quotation Marks in Dialogue,500-600,6th-7th
Grammar,-KCNAHhRl7us6t72UFXT,280,"Pore Over, Me, Unique",500-600,6th-7th
Grammar,-KCNHgjz-f3NGYzy29WY,292,"If, In Case, Now That",500-600,6th-7th
Grammar,-KCNI2CUdo8gl6HSXvfQ,294,"Whenever,  While, Because",500-600,6th-7th
Grammar,-KCNJ4utpuNAoyPiF-c6,297,Subject-Verb Agreement,500-600,6th-7th
Grammar,-KCNKyKTtx7AzNud109j,302,"Between, Beyond",500-600,6th-7th
Connect,-KQX0HF6yFtrsbicleno,419,"Although, Though, Even though, and While at the Beginning 1 (Starter)",500-600,6th-7th
Connect,-KXHxOiPXAMZmQOGGer9,430,"And, Or, But, So 1 (Intermediate)",500-600,6th-7th
Connect,-KS7cpeXa94Ev9HHWoLQ,434,Compound Subjects 1,500-600,6th-7th
Connect,-KS7eEAiCRClVOWBCjr0,435,Compound Objects 1,500-600,6th-7th
Connect,-KS7lUBBlaAq2W79ciLq,442,Appositives in the Middle 1,500-600,6th-7th
Connect,-KVfZIjz7ejLWeeinH1X,450,-ing Participial Phrases in the Middle,500-600,6th-7th
Grammar,-KltmGd-lkoenCn3tDKc,488,Past Perfect,500-600,6th-7th
Grammar,-KpH24DZ2Ss03qqYRsWN,511,Subordinating Conjunctions at the Beginning of a Sentence,500-600,6th-7th
Grammar,-Kr7AgcuxaKMDD0x-gyU,555,Compound Antecedents with Or and Nor,500-600,6th-7th
Grammar,-Kr7AweYwPJeSqRPfnJV,556,Antecedents with Plural Pronouns,500-600,6th-7th
Connect,-Kvd87aMQU6FQZyMz3E2,591,Who 1 (Starter),500-600,6th-7th
Connect,-Kvlqk7iavOSB3Fnrmnm,593,Which 1 (Starter),500-600,6th-7th
Grammar,-KybO7eiRjMiMYYowjtR,604,"Can, May, Must, Will",500-600,6th-7th
Connect,-L1sW9oOPAuLTPCWNbTI,639,That and Which (Starter),500-600,6th-7th
Connect,-L47IA_jJGUaywjt6uJT,694,Follow-up Activity for Lesson 2: Single Adjectives Review,500-600,6th-7th
Connect,-L4McWjtUWfUD2AGKF14,701,Follow-up Activity for Lesson 2: Compound Subjects,500-600,6th-7th
Connect,-L4NLSxtR04d5J4nk2eZ,702,Follow-up Activity for Lesson 1: Participial Phrases,500-600,6th-7th
Connect,-L4NQ3NAInahe2bDYUEC,703,Follow-up Activity for Lesson 2: Participial Phrases Review,500-600,6th-7th
Connect,-L4aycLMeN7ADyWY2pxl,704,"Follow-up Activity for Lesson 3: Compound Subjects, Objects, and Predicates Review",500-600,6th-7th
Connect,-L4gZDlvR333VxcXMYnH,717,Adverbs and Cumulative Adjectives 1,500-600,6th-7th
Connect,-L9kgJ-GCd6UCG21kr50,754,Parallel Structure 2 (Starter),500-600,6th-7th
Connect,-L8sBL_088oejlo9RFip,755,However at the Beginning of a Sentence,500-600,6th-7th
Connect,-LBRzb1xwCPFrohj4Zv3,763,Pronouns in Compound Subjects and Objects 1 (Intermediate),500-600,6th-7th
Connect,-LDDQkrR2YiZ--J7mj73,775,Adjectives and Adverbs (Starter),500-600,6th-7th
Connect,-LF3-uKK_T1rzuSR0tKB,783,Using The with Proper Nouns 2,500-600,6th-7th
Connect,-LFxadXfPxrTVP-me_9l,784,Follow-up Activity for Lesson 1: Complex Sentences and Their Uses,500-600,6th-7th
Grammar,-LJKkIquxzIw_2BRkT6f,801,Capitalize Holidays and Dates,500-600,6th-7th
Connect,-LM37tB4K_a-nnIqSPDJ,842,Comparative and Superlative Adjectives: More vs. Most,500-600,6th-7th
Connect,-LM3d_B_3t8VV9A_jg6D,843,Comparative vs. Superlative Adjectives,500-600,6th-7th
Connect,-LRgeea0r66VYYXMDQdH,873,"Who's, Whose",500-600,6th-7th
Connect,-LSFgBiRxoxbYyo_Dtau,876,-ing Participial Phrases at the End 1,500-600,6th-7th
Connect,-LS_TV_LGZcBbvJ0eFzN,878,-ing and -ed Participial Phrases 1 (Starter),500-600,6th-7th
Connect,-LT8Vcdtg_cFkPt8gdo7,880,"Parallel Structure with Either/Or, Neither/Nor, and Both/And",500-600,6th-7th
Grammar,-LWHmyc7tN6dyqKwiUFe,885,"Capitalize Names of People and the Pronoun ""I""",500-600,6th-7th
Grammar,-LWHkBdQv7ocHrkfzCZq,887,"Capitalization Review: People, Places, and Holidays",500-600,6th-7th
Grammar,-LaViGRt_t7xBmXHIaiJ,988,Adjectives vs. Adverbs,500-600,6th-7th
Connect,-Ll8ZxRhVQgaeyy9H8K2,1005,"Compound Subjects, Objects, and Predicates 3",500-600,6th-7th
Connect,-Lp3tThvkPdGQ5Qm0iwC,1050,Appositive Phrases (Starter),500-600,6th-7th
Connect,-Lqlr7WaqDgFlMvC0vIv,1056,Time Conjunctions 2 (Starter),500-600,6th-7th
Connect,-Lu9tvurXsTLVT6XLbly,1194,"After, Before 2 (Starter)",500-600,6th-7th
Grammar,80ff23c8-81d8-494f-922e-607bfb114082,1342,Capitalize Geographic Names 2,500-600,6th-7th
Connect,fe34c4d0-d4de-4d4d-b048-95cf3d2af793,1390,Comparative vs. Superlative Adjectives 2,500-600,6th-7th
Grammar,ec2d5bb9-961c-4c43-b9a4-3c560d2824e1,1392,Capitalize Holidays and Dates 2,500-600,6th-7th
Connect,eb46a0b2-8037-447b-95be-b0c089ab5fe3,1403,Capitalizing Titles of People 2,500-600,6th-7th
Connect,e9182d19-08e3-4035-9ff5-06695b1dba72,1407,Cumulative Adjectives 1 (Intermediate),500-600,6th-7th
Connect,ac9a38b6-c487-453d-ad3f-c760ce9b50bb,1426,Past Progressive Perfect vs. Simple Past,500-600,6th-7th
Proofreader,xXQ7W1o7cYrycfZBJHyANQ,19,Brer Rabbit & the Briar Patch,600-700,6th-7th
Proofreader,5d2ZUb4ySqJQm95VafxqgA,21,The Crocodile and The Monkey,600-700,6th-7th
Proofreader,PSzGi203g_W-HrdqDbE6hg,79,How was the World Made?,600-700,6th-7th
Proofreader,Mk-LFEA-q5_1Bn7gbkAJeQ,85,Deucalion and the Flood,600-700,6th-7th
Grammar,7reO3f_OIauga8bopw14HA,135,"Ourselves, Itself, Herself",600-700,6th-7th
Grammar,zw0hEcs5ftlVFBMww-6FRg,165,Use Commas in Addresses,600-700,6th-7th
Grammar,zXmrUdqrIiWvDCyqNFqW2A,169,Commas After Introductory Prepositional Phrases,600-700,6th-7th
Proofreader,-K2Dr6zVG_1ltx0WZccG,248,Horatius Cocles at the Bridge,600-700,6th-7th
Proofreader,-KA1Qk2dgqYrp6-KrYan,262,Dylan’s Field Trip to Mount Rushmore,600-700,6th-7th
Grammar,-KCN32gqMBw3Lxv1rGgw,275,Compound Sentences,600-700,6th-7th
Grammar,-KCN8fIa7tNQLQgIo9Vx,278,Comma Before Coordinating Conjunctions,600-700,6th-7th
Grammar,-KCNJxT8d9O3FeFZIlvc,301,Expanding Simple Sentences With Adjectives,600-700,6th-7th
Connect,-KQX-rHNK3Be8LWiPVui,418,"Since, Because 1 (Starter)",600-700,6th-7th
Connect,-KQX1jKAlI9bWSg-Iink,422,Subordinating Conjunctions 2 (Intermediate),600-700,6th-7th
Connect,-KS7Gy-PFD6Hs5Kwc5ZC,426,"And, Or 1 (Starter)",600-700,6th-7th
Connect,-KS7hcS22a5sVy5tuLyc,437,"Compound Subjects, Objects, and Predicates 1",600-700,6th-7th
Grammar,-KpGt_Q4HRs1lg0DXHcu,510,Subordinating Conjunctions in the Middle of a Sentence,600-700,6th-7th
Proofreader,-Kqipm5LV2GUkQYGQ8Lh,538,Cactus Photosynthesis,600-700,6th-7th
Proofreader,-Kr1VzAFLsATQbuRJlHd,542,Man on the Moon,600-700,6th-7th
Grammar,-Kr2dFZaGBEy3aO5lnZl,551,Indefinite Pronouns,600-700,6th-7th
Grammar,-Kr7BU5J8ZPD1WqWuqmV,558,Antecedents with Singular Pronouns,600-700,6th-7th
Connect,-Kw25fN0OSfS6kU_w7yS,600,Placing Prepositional Phrases,600-700,6th-7th
Connect,-KqZFTXwQ5MCZMH9-bUN,615,Eclipses,600-700,6th-7th
Grammar,-L0R1JR_TZuGM3QT1dHs,631,Present Perfect,600-700,6th-7th
Connect,-KqZQ1fZyO-Lz5UwooN2,632,Vascular and Non-vascular Plants,600-700,6th-7th
Connect,-L2Mydvpa-65M2Q1QHW0,652,Subordinating Conjunctions 3 (Intermediate),600-700,6th-7th
Connect,-L4Hic97ZyAl_QRaGElA,700,Follow-up Activity for Lesson 1: Compound Objects and Predicates,600-700,6th-7th
Proofreader,-L6JG-2GOXst7gMZJkDS,725,Squirrels,600-700,6th-7th
Connect,-LHj9Bm8Fn_0UjV4EGkK,792,"As long as, If, Unless 2 (Starter)",600-700,6th-7th
Proofreader,-LIMRPXvph4ObqozP-VI,794,Gift of the Magi,600-700,6th-7th
Proofreader,-LJK047bpvnWKQJzz4Nx,797,King Midas and the Golden Touch,600-700,6th-7th
Grammar,-LJ_9WEl9nznn5xl1LnJ,810,Subject and Object Pronoun Agreement,600-700,6th-7th
Connect,-LNqB486yI4Yqvp0drp1,853,Joining Words and Describing Words 1,600-700,6th-7th
Connect,-LPC3U1f1SPbXB3vZqMr,858,"After, Before 1 (Starter)",600-700,6th-7th
Connect,-Lit1Fh52fzzcQfBYkH5,996,However and Therefore at the Beginning of a Sentence,600-700,6th-7th
Connect,-LkUY2YEH-YrBD_7rwOx,1000,Compound Predicates 2,600-700,6th-7th
Connect,-LkZQMCD5xF40OudDZxc,1003,Compound Subjects 2,600-700,6th-7th
